competicion,id_competicion,area,pais,url,format
CAF Africa Cup of Nations,68zplepppndhl8bfdvgy9vgu1,CAF,CAF,https://www.scoresway.com/en_GB/soccer/caf-africa-cup-of-nations-2025-morocco/1z35p4iuhfxxdfaqjwzkqn2fo/results,Domestic league
Africa Cup of Nations Qualification,ax1yf4nlzqpcji4j8epdgx3zl,CAF,CAF,https://www.scoresway.com/en_GB/soccer/africa-cup-of-nations-qualification-2027-kenya-tanzania-uganda/2vj8sd86i396edjnxg4uojyms/fixtures,Domestic league
CAF World Cup Qualifiers,3aa4mumjl6zyetg6o9hwd5hhx,CAF,CAF,https://www.scoresway.com/en_GB/soccer/caf-world-cup-qualifiers-2026-canada-mexico-usa/9ghm6cuz03lcz4fg8jl3n1uz8/results,Domestic league
CAF African Nations Championship,2r1hqz453bn9ljzt53kdr2lwb,CAF,CAF,https://www.scoresway.com/en_GB/soccer/caf-african-nations-championship-2024-kenya-tanzania-uganda/2nvuy281x5gwlm8f74glp6gic/results,Domestic league
African Nations Championship Qualification,ad8y7vdjhinfqv4wo8rod6dck,CAF,CAF,https://www.scoresway.com/en_GB/soccer/african-nations-championship-qualification-2026/5gu3tzdwk6uhun7n3i0w3npxw/fixtures,Domestic league
WAFU Cup of Nations,ca8rm2w4gfxgzerkukyxn5e96,CAF,CAF,https://www.scoresway.com/en_GB/soccer/wafu-cup-of-nations-2019-senegal/dvhan28yqqz4ft6xwfnkjgbqi/results,Domestic league
African Games,61ny7153y7f0nqpwop51qd49h,CAF,CAF,https://www.scoresway.com/en_GB/soccer/african-games-2023-accra/7dirazovshj5t44jwo1qcpppm/results,Domestic league
CAF Champions League,cse5oqqt2pzfcy8uz6yz3tkbj,CAF,CAF,https://www.scoresway.com/en_GB/soccer/caf-champions-league-2025-2026/6ndp82t497erhm0wtk8x8qtxw/fixtures,Domestic league
CAF Confederation Cup,bx57cmq1edfq53ckfk791supi,CAF,CAF,https://www.scoresway.com/en_GB/soccer/caf-confederation-cup-2025-2026/41hzi8yof723pfmndp50e3dp0/results,Domestic league
CAF Super Cup,22dnvpi8qeluhs1f7y9l07a2x,CAF,CAF,https://www.scoresway.com/en_GB/soccer/caf-super-cup-2025-2026/9oa87pfi3zc825pe1y8ib39jo/results,Domestic league
CAF U23 Cup of Nations,7x9eojz1qgdq689kwmex501k9,CAF,CAF,https://www.scoresway.com/en_GB/soccer/caf-u23-cup-of-nations-2023-morocco/496tny3hp4cwcl35s31hgcnis/results,Domestic league
Africa U23 Cup of Nations Qualification,27zeqzs85uxv3eej1mhot6gic,CAF,CAF,https://www.scoresway.com/en_GB/soccer/africa-u23-cup-of-nations-qualification-2023-morocco/c99papa2bj2z2vzvq1q6h3bis/results,Domestic league
Africa U20 Cup of Nations,7dauoeun2gnkofl7f4y510s4f,CAF,CAF,https://www.scoresway.com/en_GB/soccer/africa-u20-cup-of-nations-2025-egypt/30lzsd6ovbob7hnffnvomyxw4/results,Domestic league
Africa U20 Cup of Nations Qualification,4fht4nyqpp5dzzv6ucm057dp0,CAF,CAF,https://www.scoresway.com/en_GB/soccer/africa-u20-cup-of-nations-qualification-2025-south-africa/algg6lmwgkm2vepejje1v00lw/results,Domestic league
CAF U17 Cup of Nations,aenz5625kw4280usgjnbo8mqz,CAF,CAF,https://www.scoresway.com/en_GB/soccer/caf-u17-cup-of-nations-2026-morocco/6vvyn0wja82esmbuep58mr1g4/fixtures,Domestic league
Africa U17 Cup of Nations Qualification,64fygrchlfuz3q4lc7k2ffj84,CAF,CAF,https://www.scoresway.com/en_GB/soccer/africa-u17-cup-of-nations-qualification-2026-morocco/eyb8ct91e3lba7kw8iqq2do9g/results,Domestic league
CAF Women's Africa Cup of Nations,14bdhdgyjd4pqapxjhfq267ge,CAF,CAF,https://www.scoresway.com/en_GB/soccer/caf-women-s-africa-cup-of-nations-2026-morocco/du6s9wjdjxomzne4ml1niln2s/fixtures,Domestic league
Africa Women Cup of Nations Qualification,2cb7wex1kos0h0dtehlovab6c,CAF,CAF,https://www.scoresway.com/en_GB/soccer/africa-women-cup-of-nations-qualification-2026-morocco/5qg8esz5p4s756xkr2wtldbtg/results,Domestic league
Women's Olympic Qualifying CAF,a1o520wpyhu8hjdsbf692j0tl,CAF,CAF,https://www.scoresway.com/en_GB/soccer/women-s-olympic-qualifying-caf-2028-los-angeles/8ovnmn3qgrdcjxdwb3hwz9250/fixtures,Domestic league
CAF Women's Champions League,xu2nd3dkwdun0j71tnqabfo4,CAF,CAF,https://www.scoresway.com/en_GB/soccer/caf-women-s-champions-league-2025/2ylzxv4ahfhl2kgskizheptzo/results,Domestic league
CECAFA Senior Challenge Cup,bi1u4m4xssntipznvmocabh39,CAF,CAF,https://www.scoresway.com/en_GB/soccer/cecafa-senior-challenge-cup-2021-ethiopia/3wt31ou0jcsooi1o6v8p1m0ru/results,Domestic league
CECAFA U20 Championship,87t07zvqxyhz97trp3bep9c0k,CAF,CAF,https://www.scoresway.com/en_GB/soccer/cecafa-u20-championship-2024/24o1nu9wrhuydacgfh6wqa904/results,Domestic league
CECAFA Women's Senior Challenge Cup,8vr10yi3vrkiem3lqc3cdc4x5,CAF,CAF,https://www.scoresway.com/en_GB/soccer/cecafa-women-s-senior-challenge-cup-2025-tanzania/btv1mppm7kf0xmk8gm9omiyok/results,Domestic league
COSAFA Cup,5liafywveaf56s2nod8hg9nca,CAF,CAF,https://www.scoresway.com/en_GB/soccer/cosafa-cup-2025-south-africa/a6l3u7f22c822y5gxcpdlc6qc/results,Domestic league
COSAFA U20 Championship,89xp61lrgd40cwvcsx9h2di0a,CAF,CAF,https://www.scoresway.com/en_GB/soccer/cosafa-u20-championship-2025-namibia/1fl0d4f9aw74865x8wgwtnxg4/results,Domestic league
WAFU A Women's Cup,5krw9gokv1sxsmuc5sazclbmc,CAF,CAF,https://www.scoresway.com/en_GB/soccer/wafu-a-women-s-cup-2025-mauritania/1usi5lomt69u2bj52uemzpp1w/results,Domestic league
COSAFA Women's Cup,f4vol68gjccwoajo0os2q09ka,CAF,CAF,https://www.scoresway.com/en_GB/soccer/cosafa-women-s-cup-2025-south-africa/9r787vvf1bivfna99yhdf7nkk/results,Domestic league
COSAFA Women's U20 Cup,7qce1cyzv51an5furf31escx6,CAF,CAF,https://www.scoresway.com/en_GB/soccer/cosafa-women-s-u20-cup-2025-namibia/3gee7lamn47cyo2ub1i78dvro/results,Domestic league
UNIFFAC Women's Tournament,2p8utuu6n84ysofox2i11ezxm,CAF,CAF,https://www.scoresway.com/en_GB/soccer/uniffac-women-s-tournament-2020/87ptpph93idrkh1ivd8uf4ga2/results,Domestic league
UNAF Women's Tournament,9dqigt7hlke2zrc3jvq735dgq,CAF,CAF,https://www.scoresway.com/en_GB/soccer/unaf-women-s-tournament-2024/3ok4rswggutp60q5gyalzgtwq/results,Domestic league
African Games Women,93n3ie5xphxyiggdsg5xk3uok,CAF,CAF,https://www.scoresway.com/en_GB/soccer/african-games-women-2023-accra/avuaha8d0kghlqe9bdji7bswk/results,Domestic league
U20 Women's World Cup Qualification Africa,3lmcbdd5m14q5erbtool2o9en,CAF,CAF,https://www.scoresway.com/en_GB/soccer/u20-women-s-world-cup-qualification-africa-2026-poland/2pl08v8h2tq4tt6puqumyxlp0/results,Domestic league
U17 Women's World Cup Qualification Africa,4kuej2okhbhexnyo542msavl6,CAF,CAF,https://www.scoresway.com/en_GB/soccer/u17-women-s-world-cup-qualification-africa-2026-morocco/3iq2njlysggw8gsrbuhcbuck4/fixtures,Domestic league
CECAFA Club Cup,3qixixbgvsajit71o6mxb7x4a,CAF,CAF,https://www.scoresway.com/en_GB/soccer/cecafa-club-cup-2025/2hp5b51kjpb6nhyckwnl7bwus/results,Domestic league
African Football League,24xvg71qcrsiayaf2ljwu6z9w,CAF,CAF,https://www.scoresway.com/en_GB/soccer/african-football-league-2023/9175osw739twkvyksnfdgxa8k/results,Domestic league
Ligue 1,57nu0wygurzkp6fuy5hhrtaa2,Algeria,Algeria,https://www.scoresway.com/en_GB/soccer/ligue-1-2025-2026/3npc49fs9snpta4p8le3r59g4/fixtures,Domestic league
Ligue 2,9hh6n2f84k31zmlcxyvmc1w2y,Algeria,Algeria,https://www.scoresway.com/en_GB/soccer/ligue-2-2025-2026/flxkeved0q9tmclqafcpql1w/results,Domestic league
Coupe Nationale,dr6r77p0pavomlvzvdkjrj54h,Algeria,Algeria,https://www.scoresway.com/en_GB/soccer/coupe-nationale-2025-2026/47qdkjgskoxy4kb4lc8mwfj10/results,Domestic league
Super Cup,7eh9ynr7f0lcp7yv2rm8i3rba,Algeria,Algeria,https://www.scoresway.com/en_GB/soccer/super-cup-2025-2026/8kaj1zvgxtk0ay1fpry60gxlg/results,Domestic league
Reserve League,9mjnt1mei5wcehylmffc19ic4,Algeria,Algeria,https://www.scoresway.com/en_GB/soccer/reserve-league-2024-2025/et4qcxr1j97r4fq20iy0igm50/results,Domestic league
U21 League 1,5a1bw1gcizd2iud370nc3yyob,Algeria,Algeria,https://www.scoresway.com/en_GB/soccer/u21-league-1-2023-2024/9j2vw5q5l68ow0ipvcgxqzifo/results,Domestic league
Girabola,6c76ua2pykvzepkmpprq4i8kf,Angola,Angola,https://www.scoresway.com/en_GB/soccer/girabola-2025-2026/7tyqslotzxi8ytlvxmjv1zyfo/fixtures,Domestic league
Super Cup,71c1runfwtsf1gq8dj67b12na,Angola,Angola,https://www.scoresway.com/en_GB/soccer/super-cup-2025-2026/bblrt8bik7n00x7u67jm5ao7o/results,Domestic league
Championnat National,ddbbqccied7l21mo4lr44sbcr,Benin,Benin,https://www.scoresway.com/en_GB/soccer/championnat-national-2025-2026/6kxxzenowii3ylw6oaiswv0us/fixtures,Domestic league
Premier League,3faz4auaxirmsh26ztmidb001,Botswana,Botswana,https://www.scoresway.com/en_GB/soccer/premier-league-2025-2026/aysrem88hwcl0ng6wws7687o/fixtures,Domestic league
Ligue 1,a3agf15089yvptkvldhuiel86,Burkina Faso,Burkina Faso,https://www.scoresway.com/en_GB/soccer/ligue-1-2025-2026/56y5sheadf58560v7uwkil9n8/results,Domestic league
Play-offs 1/2,eptc6r3ztz3u1k9kh9xe95dsk,Burkina Faso,Burkina Faso,https://www.scoresway.com/en_GB/soccer/play-offs-1-2-2025-2026/9an1mzx9ej66h5wnilvy5gdn8/fixtures,Domestic league
Ligue A,9akr1h05hescbbtybhii9hgrl,Burundi,Burundi,https://www.scoresway.com/en_GB/soccer/ligue-a-2025-2026/69ga8ddj3slapcqokg5mp54b8/results,Domestic league
Campeonato Nacional,aok0scytttwue9bybamyj4s51,Cabo Verde,Cabo Verde,https://www.scoresway.com/en_GB/soccer/campeonato-nacional-2026/378ubqtunv9zk2so0s1rz4s2c/fixtures,Domestic league
Elite One,18izk5zx4t85y7sbpjk3rlr4n,Cameroon,Cameroon,https://www.scoresway.com/en_GB/soccer/elite-one-2025-2026/cqmw3la51kme1j36rsfej2p04/fixtures,Domestic league
Elite Two,c8ynqmmwxpo7jh568jxg3syui,Cameroon,Cameroon,https://www.scoresway.com/en_GB/soccer/elite-two-2025-2026/lo53szu99kmox2hdgoltho9g/fixtures,Domestic league
Super Cup,4ceek94akc7oeia5a3uvf6jca,Cameroon,Cameroon,https://www.scoresway.com/en_GB/soccer/super-cup-2025/a7048ocitp6i0hw4zkr3os6xg/results,Domestic league
Ligue 1,5veigtl6wbuw0zod1a6rcgwl1,Congo,Congo,https://www.scoresway.com/en_GB/soccer/ligue-1-2025-2026/2qjd8kczy52xua5gu56w47bo/results,Domestic league
Ligue 1,7pl8j3qzfufcquaf8kvduau2r,Congo DR,Congo DR,https://www.scoresway.com/en_GB/soccer/ligue-1-2025-2026/ehmma83pqd17k7x6if20hmrkk/fixtures,Domestic league
Ligue 1,a55ij9w4hi8dmp55fi3dp0xzz,Côte d'Ivoire,Côte d'Ivoire,https://www.scoresway.com/en_GB/soccer/ligue-1-2025-2026/2x67tvk4kdanna2zej4ui0bv8/fixtures,Domestic league
Division 1,26gq2z96ehrmb82q3sq9cf0fp,Djibouti,Djibouti,https://www.scoresway.com/en_GB/soccer/division-1-2025-2026/7f868v9jwq97tjz4bmgfl3g9g/fixtures,Domestic league
Premier League,8k1xcsyvxapl4jlsluh3eomre,Egypt,Egypt,https://www.scoresway.com/en_GB/soccer/premier-league-2025-2026/7p3sa1jlemanzjhbsu743isyc/fixtures,Domestic league
Second Division A,dy8zaksw5e9nwrs1p5ss4o1nu,Egypt,Egypt,https://www.scoresway.com/en_GB/soccer/second-division-a-2025-2026/cqm44i69gxmooacafu49zpmok/results,Domestic league
Cup,4x4vwsyz29sfgvvy1qt0l7sxm,Egypt,Egypt,https://www.scoresway.com/en_GB/soccer/cup-2025-2026/7uw2iexyr176oai4mfj691vdg/results,Domestic league
League Cup,cefr2jp9ukac65a0w2cvkv0us,Egypt,Egypt,https://www.scoresway.com/en_GB/soccer/league-cup-2025-2026/82rdu0092d0gezlzlbi65tdec/fixtures,Domestic league
Super Cup,eouu80nhnzhj89311896c5j9x,Egypt,Egypt,https://www.scoresway.com/en_GB/soccer/super-cup-2025-2026/8id4bbgvoq93kwdqiy74n2jh0/results,Domestic league
Premier League,2tknn83yj1ls73ykdxgcekpiz,Eswatini,Eswatini,https://www.scoresway.com/en_GB/soccer/premier-league-2025-2026/8pf5znjqxa3ghoff6kevxy42c/fixtures,Domestic league
Premier League,6ybvtzejh91761lqe7y1csrqo,Ethiopia,Ethiopia,https://www.scoresway.com/en_GB/soccer/premier-league-2025-2026/yfk6117shr401b5om4u5nehg/fixtures,Domestic league
Higher League,d2xx0aq6s4jxls7nycyp32gb8,Ethiopia,Ethiopia,https://www.scoresway.com/en_GB/soccer/higher-league-2025-2026/yr6guknnx5kfszs164te5444/results,Domestic league
Championnat D1,cv1kehfzw58bg2vlj3c3ch26x,Gabon,Gabon,https://www.scoresway.com/en_GB/soccer/championnat-d1-2025-2026/br7j1x8joqkt0hu8bsc4ht6ac/fixtures,Domestic league
GFA League,alfi8igkewru9ot3mah71mjc1,Gambia,Gambia,https://www.scoresway.com/en_GB/soccer/gfa-league-2025-2026/64nsmt5p5xncpk6dxcipjou8k/fixtures,Domestic league
Premier League,4jg7he1n3rb5dniq6hf49xorq,Ghana,Ghana,https://www.scoresway.com/en_GB/soccer/premier-league-2025-2026/68v3i3kx3e71qpfh48xnofac4/fixtures,Domestic league
Division One,1m4sxndpm5lnnc09qn84cu2vo,Ghana,Ghana,https://www.scoresway.com/en_GB/soccer/division-one-2025-2026/aj4bxdgocyi3ngimzhnz3cbv8/results,Domestic league
Super Cup,c4ilrvt884aptn3kxpazkf6y1,Ghana,Ghana,https://www.scoresway.com/en_GB/soccer/super-cup-2025-2026/3j0401y9m4v2kzmb9m4nzo9p0/results,Domestic league
