competicion,temporada,id_temporada,id_competicion,url
Primera División,2025/2026,80zg2v1cuqcfhphn56u4qpyqc,34pl8szyvrbwcmfkuocjm3r6t,https://www.scoresway.com/en_GB/soccer/primera-división-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/fixtures
Primera División,2024/2025,4x7uzww3jur4re7sgt3mslyj8,34pl8szyvrbwcmfkuocjm3r6t,https://www.scoresway.com/en_GB/soccer/primera-división-2024-2025/4x7uzww3jur4re7sgt3mslyj8/results
Primera División,2026/2027,dys50za4ylhqy94bj8zhmyx3o,civf31q1inxohs4a03y8reetf,https://www.scoresway.com/en_GB/soccer/primera-división-2026-2027/dys50za4ylhqy94bj8zhmyx3o/fixtures
Primera División,2025/2026,58b52ey94lc177s651eyucn4k,civf31q1inxohs4a03y8reetf,https://www.scoresway.com/en_GB/soccer/primera-división-2025-2026/58b52ey94lc177s651eyucn4k/results
Primera División,2024/2025,cpdjckty5c65gk2k5tcxwajo4,civf31q1inxohs4a03y8reetf,https://www.scoresway.com/en_GB/soccer/primera-división-2024-2025/cpdjckty5c65gk2k5tcxwajo4/results
Primera División,2026,b8kaz0tks262ypfye6pj6dpuc,alpfd99yd3lfv7bhjo0biuq7b,https://www.scoresway.com/en_GB/soccer/primera-división-2026/b8kaz0tks262ypfye6pj6dpuc/fixtures
Primera División,2025,390x46f39c7iugr9wfd0h0qac,alpfd99yd3lfv7bhjo0biuq7b,https://www.scoresway.com/en_GB/soccer/primera-división-2025/390x46f39c7iugr9wfd0h0qac/results
Primera División,2026,ikhh1wx11krn1uqgykcjof84,2y8bntiif3a9y6gtmauv30gt,https://www.scoresway.com/en_GB/soccer/primera-división-2026/ikhh1wx11krn1uqgykcjof84/fixtures
Primera División,2025,2tldxhqnjfghebx60g6ea8mj8,2y8bntiif3a9y6gtmauv30gt,https://www.scoresway.com/en_GB/soccer/primera-división-2025/2tldxhqnjfghebx60g6ea8mj8/results
Primera División,2026,55wby45j07iiofu0nuiy08xzo,46b141eaqq9q7o4gz5gtdpikk,https://www.scoresway.com/en_GB/soccer/primera-división-2026/55wby45j07iiofu0nuiy08xzo/fixtures
Primera División,2025,5mzx72qvlmiu5ipr6x1bkt9n8,46b141eaqq9q7o4gz5gtdpikk,https://www.scoresway.com/en_GB/soccer/primera-división-2025/5mzx72qvlmiu5ipr6x1bkt9n8/results
