biowenger_name,biowenger_team,supabase_player_id,precio,similarity
Pablo Barrios,Atlético,9e7ybe0nsu3byq2tteey3zuy2,18,1.0
Álvaro Odriozola,Real Sociedad,5nluxvc0wi0u1d5zcy7be5rkl,7,1.0
César Azpilicueta,Sevilla,bvw1jgmhfyc896gfi6uj0skwl,8,1.0
Álex Remiro,Real Sociedad,w503zyr8ipyobglth281uklx,16,1.0
Horatiu Moldovan,Real Oviedo,58ne1a4dg1awsoh5ybmjrlhey,8,0.7692307692307693
Igor Zubeldia,Real Sociedad,48gjuou5eashpj8wbwd18iju1,13,1.0
Roberto Fernández,Espanyol,5fqvl0m1rkzhj9tmafrcxur6c,12,1.0
Javi Morcillo,Atlético,8921la7pznfjc4e69ul2pqmms,7,0.9285714285714286
Unai Egiluz,Athletic,ajmyaj6fk8lpirlqndw75i42c,7,1.0
Brais Méndez,Real Sociedad,dvrk8qmt9ta4c3kvjgsad7t91,16,1.0
Luka Sucic,Real Sociedad,9x5uo2wkxp9fk1arygbkl6u0a,15,0.8
Javier Boñar,Atlético,6m5v97if055boykubm2hq8es,7,1.0
Jon Pacheco,Alavés,7bs0ph4yksf6lvkg91u9nqzqi,9,1.0
Alan Matturro,Levante,2y25g5wgiygxbp97r22o1a1as,8,0.8695652173913043
Marc-André ter Stegen,Girona,2e55g4q93y382cg7h0yk5rtud,15,1.0
Robin Le Normand,Atlético,6xulax65kp4aid70nk7g5jr2t,15,1.0
Dani Martínez,Atlético,51qvkjhgmbxersyfxzb8en1n8,7,1.0
Joao Cancelo,Barcelona,29pq64smaxdwlraopnxoleqxh,17,0.9166666666666666
Jeremy Toljan,Levante,5oge5fhmna0oduqvjisoa1djp,8,0.7619047619047619
Iñaki Peña,Elche,4mxx1oxkiexm0ha34utcmb17t,9,1.0
André Silva,Elche,dhhmffih4gl51nlu92hfctqs5,10,1.0
Ionut Radu,Celta,6wplm29z7qxxmujyc2ml19gix,9,0.75
Alejandro Balde,Barcelona,bzgh5psb1janz9y3btpswngbu,20,1.0
Franco Mastantuono,Real Madrid,1fkntyd2z8e169yh98k0zst90,14,1.0
Baptiste Santamaria,Valencia,9br2z5cf6stmnidehwo5a8afp,12,1.0
Ferrán Torres,Barcelona,2szgrzcosfeifh664tgt3mfvt,27,1.0
Aihen Muñoz,Real Sociedad,bj929w5yi7lnz36jxsi5qnq7e,9,1.0
Luiz Junior,Villarreal,6ddxujeb3873j5evwiz8n4wt0,12,1.0
Javi Galán,Osasuna,40gxfsz7bgrkdudqewlpxzyzt,12,1.0
Frenkie de Jong,Barcelona,ezviixcyaaj162saxs2yl27s9,26,1.0
Takefusa Kubo,Real Sociedad,1qkep5ck252k1g3oqza5ygh61,26,1.0
Pedro Bigas,Elche,33r4ae8aivh27ho0ix9mnkedx,9,1.0
Vitor Reis,Girona,bh4p6egq7e7htivuu0qdjqiac,13,1.0
Urko González de Zarate,Espanyol,7y8ns61qioqu7kfsqzkvkwhuy,9,1.0
César Tárrega,Valencia,2u8bekuidiwqz1gvb4vd3uhg,14,1.0
Jules Koundé,Barcelona,cscn06kwqfzo09h0dc5ybt1pl,25,0.8
Beñat Turrientes,Real Sociedad,et849xmcdgsy5itb8i4w7qkq2,8,1.0
Mateo Joseph,Mallorca,9d4cokmqyy9vabji5g0ascavo,8,1.0
Pedri González,Barcelona,6q1ofxh5tagpzb5wn7tlgyot0,55,0.7857142857142857
Umar Sadiq,Valencia,dtvmsnqlzn5672xb54zj8u7dh,12,0.8235294117647058
Ronald Araújo,Barcelona,awsod0zmnrukk21d4882ji7e1,14,0.7619047619047619
Filip Ugrinic,Valencia,94md3wf5xab5mnj5niiwq33zd,13,1.0
Pablo Marín,Real Sociedad,aka2yqxmqpioxc1qzkl62ejv8,9,1.0
Pablo Gavi,Barcelona,eb3ci3a120om80v80mobsus8a,21,0.7407407407407407
Matías Dituro,Elche,8rgy29sd9okehwq8bzyb3v0t1,8,0.7619047619047619
Lamine Yamal,Barcelona,abr79wsl0folgkyvl821ggs2c,66,1.0
Jon Ander Olasagasti,Levante,6lnttemmflhxp700fr069ty0a,7,0.8333333333333334
Lucas Cepeda,Elche,d87uduceapind7lgv6273xedw,9,0.8
Rayane Belaid,Atlético,6dswrjvnakdr8gwun530inwgk,7,1.0
Andreas Christensen,Barcelona,1av9mmv19jwvc4xdr0p9owyxh,12,0.8260869565217391
Boyomo,Osasuna,5tiol5jc7h11oic9vvyu83fqi,15,1.0
Raphinha,Barcelona,2wl6h1rlrfnn2mr65vuo3t815,55,1.0
Unai Marrero,Real Sociedad,b2xlrg9xvucrut2fhmvsgjuqy,8,1.0
Léo Pétrot,Elche,dfss2zdkn61bbq312zhxlddyh,8,1.0
Charles Pickel,Espanyol,a8ez7qv4n62b8s45pdo8u07o5,10,0.7567567567567568
Robert Lewandowski,Barcelona,afxjicw89683nlpms9yy5x51x,41,1.0
Arsen Zakharyan,Real Sociedad,6e4d1o09sl2ovlyyvhyd5xboq,9,1.0
Aleix Febas,Elche,90ga4jxu6ydpoliajft8w9y39,8,1.0
Marcos Alonso,Celta,9i7lb16qty1t21bnc5h7skclx,16,1.0
Jon Aramburu,Real Sociedad,ezbplvktzcvzh5kwur32110mi,12,0.9090909090909091
Matías Moreno,Levante,4v3mcgy4w1n4g3vkq0fe7iwwk,9,0.7647058823529411
Mathew Ryan,Levante,7udphhcokm6vralyz5gkovxsl,11,0.7857142857142857
Josan Ferrández,Elche,ac5f9msbvijksbq5s2ivwh979,8,0.6666666666666666
Fermín López,Barcelona,cjll1xrw3xulnl23c9tlf6rys,21,1.0
Alejandro Primo,Levante,86vrnjycj2o3mg6k7hohpzoyc,7,0.75
Pau Cubarsí,Barcelona,bkwxem45cf48k14euwqe7rs44,21,1.0
Joan Jordan,Sevilla,8ycvfctf7c3yljnbtltsogkph,12,1.0
Jan Salas,Mallorca,4rcsvuxnotyjoo72f8okudh5g,7,0.5714285714285714
Héctor Fort,Elche,8xjdsfk5u7wph4o7h1w45dses,8,1.0
John Chetauya,Elche,clrlsy05spf55w39f84b7p3sa,7,0.5652173913043478
Ángel Pérez,Alavés,350ehsdbvwysbfxgeian91rf8,7,1.0
