Nombre,Equipo,Posicion,Valor,Fecha_Nacimiento,Foto
Kike García,Espanyol,DEL,30,25/11/1989,https://media.futbolfantasy.com/thumb/400x400/v202602020148/uploads/images/jugadores/ficha/2751.png
Antonio Blanco,Alavés,MED,37,23/07/2000,https://media.futbolfantasy.com/thumb/400x400/v202607150033/uploads/images/jugadores/ficha/8737.png
Javi López,Real Sociedad,DEF,23,25/03/2002,https://media.futbolfantasy.com/thumb/400x400/v202607080544/uploads/images/jugadores/ficha/7781.png
Antonio Sivera,Alavés,POR,40,11/08/1996,https://media.futbolfantasy.com/thumb/400x400/v202607091514/uploads/images/jugadores/ficha/1059.png
Jon Guridi,Sevilla,MED,20,28/02/1995,https://media.futbolfantasy.com/thumb/400x400/v202607061113/uploads/images/jugadores/ficha/3736.png
Andoni Gorosabel,Athletic,DEF,20,04/08/1996,https://media.futbolfantasy.com/thumb/400x400/v202607081118/uploads/images/jugadores/ficha/3799.png
Ander Guevara,Alavés,MED,17,07/07/1997,https://media.futbolfantasy.com/thumb/400x400/v202607091514/uploads/images/jugadores/ficha/3802.png
Luis Rioja,Valencia,MED,35,16/10/1993,https://media.futbolfantasy.com/thumb/400x400/v202607141031/uploads/images/jugadores/ficha/6665.png
Nahuel Tenaglia,Alavés,DEF,36,21/02/1996,https://media.futbolfantasy.com/thumb/400x400/v202607091514/uploads/images/jugadores/ficha/9909.png
Jesús Owono,Alavés,POR,16,01/03/2001,https://media.futbolfantasy.com/thumb/400x400/v202607091514/uploads/images/jugadores/ficha/9644.png
Abdel Abqar,Getafe,DEF,20,10/03/1999,https://media.futbolfantasy.com/thumb/400x400/v202607062104/uploads/images/jugadores/ficha/5083.png
Carlos Benavidez,Alavés,MED,16,30/03/1998,https://media.futbolfantasy.com/thumb/400x400/v202607091514/uploads/images/jugadores/ficha/10448.png
Abde Rebbach,Alavés,MED,24,11/08/1998,https://media.futbolfantasy.com/thumb/400x400/v202607091514/uploads/images/jugadores/ficha/10476.png
Giuliano Simeone,Atlético,MED,68,18/12/2002,https://media.futbolfantasy.com/thumb/400x400/v202607201514/uploads/images/jugadores/ficha/9276.png
Álex Berenguer,Athletic,MED,40,04/07/1995,https://media.futbolfantasy.com/thumb/400x400/v202607211128/uploads/images/jugadores/ficha/3204.png
Yuri Berchiche,Athletic,DEF,26,10/02/1990,https://media.futbolfantasy.com/thumb/400x400/v202607231137/uploads/images/jugadores/ficha/735.png
Iñaki Williams,Athletic,DEL,49,15/06/1994,https://media.futbolfantasy.com/thumb/400x400/v202607081122/uploads/images/jugadores/ficha/1934.png
Íñigo Ruiz de Galarreta,Athletic,MED,31,06/08/1993,https://media.futbolfantasy.com/thumb/400x400/v202607211128/uploads/images/jugadores/ficha/44.png
Mikel Vesga,Athletic,MED,17,08/04/1993,https://media.futbolfantasy.com/thumb/400x400/v202607201448/uploads/images/jugadores/ficha/3249.png
Yeray Álvarez,Athletic,DEF,24,24/01/1995,https://media.futbolfantasy.com/thumb/400x400/v202604211141/uploads/images/jugadores/ficha/1972.png
Asier Villalibre,Racing,DEL,29,30/09/1997,https://media.futbolfantasy.com/thumb/400x400/v202607100045/uploads/images/jugadores/ficha/3671.png
Dani Vivian,Athletic,DEF,36,05/07/1999,https://media.futbolfantasy.com/thumb/400x400/v202607161347/uploads/images/jugadores/ficha/5245.png
Unai Simón,Athletic,POR,45,11/06/1997,https://media.futbolfantasy.com/thumb/400x400/v202607201513/uploads/images/jugadores/ficha/3693.png
Gorka Guruzeta,Athletic,DEL,42,12/09/1996,https://media.futbolfantasy.com/thumb/400x400/v202602100140/uploads/images/jugadores/ficha/5859.png
Oihan Sancet,Athletic,MED,50,25/04/2000,https://media.futbolfantasy.com/thumb/400x400/v202607081118/uploads/images/jugadores/ficha/7006.png
Julen Agirrezabala,Athletic,POR,29,26/12/2000,https://media.futbolfantasy.com/thumb/400x400/v202607011229/uploads/images/jugadores/ficha/9213.png
Nico Williams,Athletic,DEL,82,12/07/2002,https://media.futbolfantasy.com/thumb/400x400/v202607201513/uploads/images/jugadores/ficha/8693.png
Beñat Prados,Athletic,MED,27,08/02/2001,https://media.futbolfantasy.com/thumb/400x400/v202604301159/uploads/images/jugadores/ficha/7917.png
Aitor Paredes,Athletic,DEF,26,29/04/2000,https://media.futbolfantasy.com/thumb/400x400/v202604081109/uploads/images/jugadores/ficha/7916.png
Mikel Jauregizar,Athletic,MED,40,13/11/2003,https://media.futbolfantasy.com/thumb/400x400/v202602261305/uploads/images/jugadores/ficha/12605.png
Adama Boiro,Athletic,DEF,17,22/06/2002,https://media.futbolfantasy.com/thumb/400x400/v202602100141/uploads/images/jugadores/ficha/11688.png
Koke Resurrección,Atlético,MED,40,08/01/1992,https://media.futbolfantasy.com/thumb/400x400/v202607170354/uploads/images/jugadores/ficha/63.png
José María Giménez,Atlético,DEF,33,20/01/1995,https://media.futbolfantasy.com/thumb/400x400/v202607201929/uploads/images/jugadores/ficha/775.png
Jan Oblak,Atlético,POR,43,07/01/1993,https://media.futbolfantasy.com/thumb/400x400/v202607201927/uploads/images/jugadores/ficha/1826.png
Marcos Llorente,Atlético,DEF,56,30/01/1995,https://media.futbolfantasy.com/thumb/400x400/v202607201514/uploads/images/jugadores/ficha/1931.png
Rodrigo Riquelme,Betis,MED,21,02/04/2000,https://media.futbolfantasy.com/thumb/400x400/v202607091403/uploads/images/jugadores/ficha/6450.png
Thomas Lemar,Atlético,MED,29,12/11/1995,https://media.futbolfantasy.com/thumb/400x400/v202607181453/uploads/images/jugadores/ficha/3427.png
Nahuel Molina,Atlético,DEF,31,06/04/1998,https://media.futbolfantasy.com/thumb/400x400/v202607201514/uploads/images/jugadores/ficha/8120.png
Pablo Barrios,Atlético,MED,56,15/06/2003,https://media.futbolfantasy.com/thumb/400x400/v202607202050/uploads/images/jugadores/ficha/10005.png
Marc-André ter Stegen,Barcelona,POR,31,30/04/1992,https://media.futbolfantasy.com/thumb/400x400/v202607171238/uploads/images/jugadores/ficha/1263.png
Alejandro Balde,Barcelona,DEF,44,18/10/2003,https://media.futbolfantasy.com/thumb/400x400/v202607211335/uploads/images/jugadores/ficha/9316.png
Ferrán Torres,Barcelona,DEL,94,29/02/2000,https://media.futbolfantasy.com/thumb/400x400/v202607201517/uploads/images/jugadores/ficha/5050.png
Frenkie de Jong,Barcelona,MED,72,12/05/1997,https://media.futbolfantasy.com/thumb/400x400/v202607141313/uploads/images/jugadores/ficha/6210.png
Jules Koundé,Barcelona,DEF,70,12/11/1998,https://media.futbolfantasy.com/thumb/400x400/v202607201517/uploads/images/jugadores/ficha/6674.png
Pedri González,Barcelona,MED,165,25/11/2002,https://media.futbolfantasy.com/thumb/400x400/v202607201517/uploads/images/jugadores/ficha/7257.png
Ronald Araújo,Barcelona,DEF,35,07/03/1999,https://media.futbolfantasy.com/thumb/400x400/v202607201341/uploads/images/jugadores/ficha/7004.png
Pablo Gavi,Barcelona,MED,62,05/08/2004,https://media.futbolfantasy.com/thumb/400x400/v202607201517/uploads/images/jugadores/ficha/9273.png
Lamine Yamal,Barcelona,DEL,178,13/07/2007,https://media.futbolfantasy.com/thumb/400x400/v202607201517/uploads/images/jugadores/ficha/11520.png
Andreas Christensen,Barcelona,DEF,22,10/04/1996,https://media.futbolfantasy.com/thumb/400x400/v202607080331/uploads/images/jugadores/ficha/2417.png
Raphinha,Barcelona,DEL,136,14/12/1996,https://media.futbolfantasy.com/thumb/400x400/v202607141313/uploads/images/jugadores/ficha/4288.png
Marcos Alonso,Celta,DEF,31,28/12/1990,https://media.futbolfantasy.com/thumb/400x400/v202607060442/uploads/images/jugadores/ficha/4397.png
Fermín López,Barcelona,MED,89,11/05/2003,https://media.futbolfantasy.com/thumb/400x400/v202607080331/uploads/images/jugadores/ficha/11709.png
Pau Cubarsí,Barcelona,DEF,90,22/01/2007,https://media.futbolfantasy.com/thumb/400x400/v202607201517/uploads/images/jugadores/ficha/11706.png
Héctor Fort,Barcelona,DEF,25,02/08/2006,https://media.futbolfantasy.com/thumb/400x400/v202607080332/uploads/images/jugadores/ficha/11577.png
Guido Rodríguez,Valencia,MED,30,12/04/1994,https://media.futbolfantasy.com/thumb/400x400/v202607141031/uploads/images/jugadores/ficha/7676.png
Marc Bartra,Betis,DEF,27,15/01/1991,https://media.futbolfantasy.com/thumb/400x400/v202607091403/uploads/images/jugadores/ficha/322.png
Isco Alarcón,Betis,MED,64,21/04/1992,https://media.futbolfantasy.com/thumb/400x400/v202607230120/uploads/images/jugadores/ficha/336.png
Ayoze Pérez,Villarreal,DEL,42,29/07/1993,https://media.futbolfantasy.com/thumb/400x400/v202607060440/uploads/images/jugadores/ficha/4511.png
Héctor Bellerín,Betis,DEF,32,19/03/1995,https://media.futbolfantasy.com/thumb/400x400/v202607091403/uploads/images/jugadores/ficha/2153.png
Pablo Fornals,Betis,MED,87,22/02/1996,https://media.futbolfantasy.com/thumb/400x400/v202607091403/uploads/images/jugadores/ficha/2632.png
Marc Roca,Betis,MED,28,26/11/1996,https://media.futbolfantasy.com/thumb/400x400/v202607091403/uploads/images/jugadores/ficha/3215.png
Aitor Ruibal,Betis,MED,26,22/03/1996,https://media.futbolfantasy.com/thumb/400x400/v202607202156/uploads/images/jugadores/ficha/5051.png
Abde Ezzalzouli,Betis,DEL,101,17/12/2001,https://media.futbolfantasy.com/thumb/400x400/v202607202156/uploads/images/jugadores/ficha/9750.png
Johnny Cardoso,Atlético,MED,36,20/09/2001,https://media.futbolfantasy.com/thumb/400x400/v202607211012/uploads/images/jugadores/ficha/12647.png
Iago Aspas,Celta,DEL,34,01/08/1987,https://media.futbolfantasy.com/thumb/400x400/v202605140335/uploads/images/jugadores/ficha/175.png
Manu Sánchez,Levante,DEF,24,24/08/2000,https://media.futbolfantasy.com/thumb/400x400/v202607080409/uploads/images/jugadores/ficha/6605.png
Carlos Dominguez,Celta,DEF,18,11/02/2001,https://media.futbolfantasy.com/thumb/400x400/v202605140335/uploads/images/jugadores/ficha/8702.png
Iván Villar,Celta,POR,16,09/07/1997,https://media.futbolfantasy.com/thumb/400x400/v202605140335/uploads/images/jugadores/ficha/3255.png
Unai Núñez,Celta,DEF,19,30/01/1997,https://media.futbolfantasy.com/thumb/400x400/v202607080411/uploads/images/jugadores/ficha/3785.png
Carles Pérez,Celta,MED,18,16/02/1998,https://media.futbolfantasy.com/thumb/400x400/v202607101505/uploads/images/jugadores/ficha/6606.png
Hugo Sotelo,Levante,MED,20,19/12/2003,https://media.futbolfantasy.com/thumb/400x400/v202605140335/uploads/images/jugadores/ficha/8988.png
Williot Swedberg,Celta,MED,31,01/02/2004,https://media.futbolfantasy.com/thumb/400x400/v202607060440/uploads/images/jugadores/ficha/10207.png
Carlos Dotor,Málaga,MED,18,15/03/2001,https://media.futbolfantasy.com/thumb/400x400/v202607141401/uploads/images/jugadores/ficha/10860.png
Carl Starfelt,Celta,DEF,24,01/06/1995,https://media.futbolfantasy.com/thumb/400x400/v202607101436/uploads/images/jugadores/ficha/9612.png
Hugo Álvarez,Celta,MED,28,02/07/2003,https://media.futbolfantasy.com/thumb/400x400/v202607060441/uploads/images/jugadores/ficha/9740.png
David Soria,Getafe,POR,48,04/04/1993,https://media.futbolfantasy.com/thumb/400x400/v202607062104/uploads/images/jugadores/ficha/1919.png
Borja Mayoral,Getafe,DEL,28,05/04/1997,https://media.futbolfantasy.com/thumb/400x400/v202607062104/uploads/images/jugadores/ficha/1989.png
Dakonam Djené,Getafe,DEF,23,31/12/1991,https://media.futbolfantasy.com/thumb/400x400/v202607062104/uploads/images/jugadores/ficha/3881.png
Carles Aleñá,Alavés,MED,19,05/01/1998,https://media.futbolfantasy.com/thumb/400x400/v202607091514/uploads/images/jugadores/ficha/2759.png
Ilaix Moriba,Celta,MED,35,19/01/2003,https://media.futbolfantasy.com/thumb/400x400/v202607231518/uploads/images/jugadores/ficha/8082.png
Juan Iglesias,Sevilla,DEF,34,03/07/1998,https://media.futbolfantasy.com/thumb/400x400/v202607080552/uploads/images/jugadores/ficha/8686.png
José Ángel Carmona,Sevilla,DEF,27,29/01/2002,https://media.futbolfantasy.com/thumb/400x400/v202607181530/uploads/images/jugadores/ficha/9317.png
Eric Garcia,Barcelona,DEF,77,09/01/2001,https://media.futbolfantasy.com/thumb/400x400/v202607201517/uploads/images/jugadores/ficha/7542.png
Yangel Herrera,Real Sociedad,MED,26,07/01/1998,https://media.futbolfantasy.com/thumb/400x400/v202607101513/uploads/images/jugadores/ficha/6446.png
Javi Muñoz,Getafe,MED,17,28/02/1995,https://media.futbolfantasy.com/thumb/400x400/v202607062104/uploads/images/jugadores/ficha/1981.png
Álvaro Valles,Betis,POR,35,25/07/1997,https://media.futbolfantasy.com/thumb/400x400/v202607091403/uploads/images/jugadores/ficha/3686.png
Sergi Cardona,Villarreal,DEF,28,08/07/1999,https://media.futbolfantasy.com/thumb/400x400/v202602161630/uploads/images/jugadores/ficha/9989.png
Alberto Moleiro,Villarreal,MED,81,30/09/2003,https://media.futbolfantasy.com/thumb/400x400/v202607211338/uploads/images/jugadores/ficha/9990.png
José Manuel Copete,Valencia,DEF,19,10/10/1999,https://media.futbolfantasy.com/thumb/400x400/v202607202247/uploads/images/jugadores/ficha/9234.png
Moi Gómez,Osasuna,MED,20,23/06/1994,https://media.futbolfantasy.com/thumb/400x400/v202607060440/uploads/images/jugadores/ficha/841.png
