Nombre,Equipo,Precio_Comunio,Precio_Num,Precio_Normalizado,Foto
Mbappé,France,"21,22 M",21220000.0,50,https://st.clubcomunio.com/p/342229-3.jpg
Lamine Yamal,Spain,"20,80 M",20800000.0,49,https://st.clubcomunio.com/p/937958-2.jpg
Olise,France,"19,02 M",19020000.0,46,https://st.clubcomunio.com/p/566723-1.jpg
Kane,England,"18,85 M",18850000.0,45,https://st.clubcomunio.com/p/132098-2.jpg
Messi,Argentina,"18,07 M",18070000.0,44,https://st.clubcomunio.com/p/28003-2.jpg
Cristiano Ronaldo,Portugal,"17,94 M",17940000.0,43,https://st.clubcomunio.com/p/8198-5.jpg
Dembélé,France,"16,99 M",16990000.0,41,https://st.clubcomunio.com/p/288230-2.jpg
Wirtz,Germany,"16,62 M",16620000.000000002,41,https://st.clubcomunio.com/p/598577-1.jpg
Haaland,Norway,"16,52 M",16520000.0,40,https://st.clubcomunio.com/p/418560-2.jpg
Vinicius Junior,Brazil,"16,38 M",16379999.999999998,40,https://st.clubcomunio.com/p/371998-2.jpg
Pedri,Spain,"15,79 M",15790000.0,39,https://st.clubcomunio.com/p/683840-4.jpg
Bruno Fernandes,Portugal,"15,37 M",15370000.0,38,https://st.clubcomunio.com/p/240306-2.jpg
Julián Álvarez,Argentina,"14,53 M",14530000.0,36,https://st.clubcomunio.com/p/576024-1.jpg
Oyarzabal,Spain,"14,51 M",14510000.0,36,https://st.clubcomunio.com/p/351478-3.jpg
Bellingham,England,"13,98 M",13980000.0,35,https://st.clubcomunio.com/p/581678-0.jpg
Havertz,Germany,"13,69 M",13690000.0,35,https://st.clubcomunio.com/p/309400-3.jpg
Vitinha,Portugal,"13,42 M",13420000.0,34,https://st.clubcomunio.com/p/487469-1.jpg
Rodri,Spain,"13,40 M",13400000.0,34,https://st.clubcomunio.com/p/357565-3.jpg
Luis Díaz,Colombia,"13,39 M",13390000.0,34,https://st.clubcomunio.com/p/480692-0.jpg
